title,singer,combined_years
꽃송이가,버스커 버스커,"[2012, 2013, 2014, 2015, 2016]"
"나만, 봄",볼빨간사춘기,"[2019, 2020, 2023]"
벚꽃 엔딩,버스커 버스커,"[2012, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유","[2014, 2015, 2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024]"
봄이 좋냐??,10CM,"[2016, 2017, 2018]"
여수 밤바다,버스커 버스커,"[2012, 2013, 2016]"
우연히 봄,"로꼬, 유주 (YUJU)","[2015, 2016, 2020, 2022, 2023, 2024]"
All I Want for Christmas Is You,Mariah Carey,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]"
Last Christmas,Ariana Grande,"[2018, 2020, 2021, 2022, 2023]"
Last Christmas,WHAM!,"[2016, 2022, 2023]"
Make It To Christmas,Alessia Cara,"[2021, 2022, 2023]"
Must Have Love,"SG 워너비, 브라운아이드걸스","[2014, 2018, 2019, 2021, 2022, 2023]"
Santa Tell Me,Ariana Grande,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]"
Snowman,Sia,"[2017, 2018, 2019, 2020, 2021, 2022, 2023]"
Text Me Merry Christmas (Feat. Kristen Bell),Straight No Chaser,"[2019, 2020, 2021, 2022, 2023]"
Underneath The Tree,Kelly Clarkson,"[2021, 2022, 2023]"
눈이 오잖아(Feat.헤이즈),이무진,"[2021, 2022, 2023]"
미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]"
첫 눈,EXO,"[2013, 2021, 2022, 2023]"
크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]"
