title,singer,years,chartin_counts
All I Want for Christmas Is You,Mariah Carey,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",12
Last Christmas,Ariana Grande,"[2018, 2020, 2021, 2022, 2023]",5
Last Christmas,WHAM!,"[2016, 2022, 2023]",3
Make It To Christmas,Alessia Cara,"[2021, 2022, 2023]",3
Must Have Love,"SG 워너비, 브라운아이드걸스","[2014, 2018, 2019, 2021, 2022, 2023]",6
Santa Tell Me,Ariana Grande,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",8
Snowman,Sia,"[2017, 2018, 2019, 2020, 2021, 2022, 2023]",7
Text Me Merry Christmas (Feat. Kristen Bell),Straight No Chaser,"[2019, 2020, 2021, 2022, 2023]",5
Underneath The Tree,Kelly Clarkson,"[2021, 2022, 2023]",3
눈이 오잖아(Feat.헤이즈),이무진,"[2021, 2022, 2023]",3
미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",14
첫 눈,EXO,"[2013, 2021, 2022, 2023]",4
크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",12
